x y z
0.612772 -3.118788 129.720885
2.709672 -0.363016 131.769593
-0.062044 -1.466478 147.946184
0.227328 0.836561 144.761115
-0.724590 -4.222654 116.951660
-4.745809 4.743948 94.027670
-3.921086 4.862107 95.560228
-4.685708 1.981617 101.571381
1.364104 0.360964 140.295010
-1.856440 -1.904724 126.910802
0.085707 3.137950 118.421830
4.075665 1.847312 111.298378
-2.507078 -3.373831 114.141903
-0.896171 4.109272 105.889837
2.555511 3.225372 111.261126
-2.712018 4.497999 97.988844
-4.230201 2.257195 100.686675
-2.102485 1.134152 126.186697
-3.387787 -0.817570 114.479188
4.296977 4.327285 101.857515
3.081204 3.660639 102.544315
1.334038 -4.547813 117.014288
3.714606 -4.736330 110.446460
3.036721 -1.235366 127.508873
-3.134299 3.105533 106.037672
3.925590 4.872761 103.332311
0.393422 -3.495831 127.042380
3.074402 0.941307 119.925680
3.960913 -1.191091 115.508150
-1.819965 4.699144 98.966640
-3.899481 3.421189 99.670518
-2.720648 3.383287 105.504255
-0.728922 -0.313068 145.098723
3.180148 -0.851805 126.623645
3.607306 -2.265929 116.604260
-4.930479 -4.436245 101.409700
0.107473 3.647224 108.689034
-0.825890 3.129010 113.179988
-2.778922 4.997177 94.514079
-3.801346 4.966368 93.684910
-1.623848 0.554317 136.996254
4.429097 2.689874 104.011586
-1.767971 4.447657 106.866074
0.187906 3.496474 114.066737
2.030190 -2.526519 129.131015
-1.363704 -0.494559 138.989253
4.717821 -3.708406 110.582863
4.624473 4.540510 99.130953
-2.482177 1.061746 122.397042
-0.027515 -2.713572 138.522152
-1.991217 1.717007 122.031207
-2.151595 1.181282 127.230525
-4.631131 -1.418373 104.404850
1.095643 -3.864424 120.539252
0.026790 1.715732 138.220227
-4.485212 0.203077 104.803787
-2.213535 2.723184 115.441768
4.082659 0.201635 117.966761
-2.604381 3.521815 103.039682
-3.551051 0.519068 114.448720
-0.105472 0.609380 147.855972
4.856505 3.766536 103.008708
-2.579447 -0.965171 122.355073
1.721355 -3.659848 119.174586
2.616196 -4.712173 111.186306
-2.623625 2.551373 110.285807
2.282163 1.203096 130.921621
-1.322169 2.040798 124.859391
1.323058 -2.870358 126.931629
1.335297 -3.636285 122.849590
0.357747 -4.854553 114.776318
-4.097102 -1.494124 110.449550
3.353025 0.899177 123.237552
-1.792199 -1.077560 136.313213
-3.134815 -0.625251 120.217436
-4.592249 4.041587 96.092930
0.908929 -1.517445 141.005687
1.775644 0.139895 141.998815
-4.834122 2.836530 98.726075
0.120931 -1.034572 149.294873
-2.735042 1.220867 115.962055
1.451728 3.623637 108.537209
-3.256336 4.495206 99.937042
1.909377 -3.529265 120.883580
-1.132647 4.265876 105.567880
4.367300 -0.078837 114.717034
-3.624791 -2.417556 111.018286
-1.589336 -0.408642 140.074043
-3.865265 4.800326 94.858390
4.246936 -0.073819 115.807773
3.773394 -1.712484 117.678563
-2.420584 1.334009 120.166892
1.599840 -2.598544 130.271331
3.172222 -4.241367 112.540890
0.552008 -3.711203 121.802908
0.296506 -3.719542 125.241028
-2.581477 -3.480973 111.689235
-4.068972 -3.611728 105.320063
3.972158 1.408747 112.660605
4.004181 -3.181199 115.527337
1.331015 -1.543327 142.179004
-1.609702 3.967884 107.045107
-1.507904 -0.260384 136.071885
2.259557 1.675577 126.384642
3.971103 -3.276801 114.274850
3.870864 -3.077110 113.741588
2.798755 -4.591314 113.879334
1.420316 -3.310649 123.817985
-4.158600 -2.214097 110.669740
-3.383713 -3.229895 114.495399
3.985542 -4.112975 109.522878
1.064291 -3.793641 120.416032
-4.908029 -0.392212 106.963030
-3.985285 -2.936663 110.576469
1.635018 -1.357301 139.635512
-4.949384 0.034173 102.598116
-3.391919 1.903948 108.294050
0.487338 -4.606879 112.502805
1.918952 2.994104 113.296157
1.519613 1.279004 133.360622
-2.757307 -4.182410 107.869080
2.121792 3.735786 108.113196
-2.627509 4.208724 100.974672
-1.746003 -4.389220 115.431668
2.464914 -2.231224 125.633517
1.496329 3.062013 117.963137
3.492234 2.482597 110.639841
1.576129 -3.154790 125.601270
0.683086 -2.906507 132.514647
-4.063252 -1.295279 107.550568
-1.322842 -0.154770 141.690646
-2.347976 1.182548 123.161349
-2.560104 -1.310864 125.802235
4.730106 -0.374653 112.920855
-1.069023 2.474709 126.138865
3.920466 -4.633168 108.070013
1.311386 -2.475631 132.591320
2.948113 2.133496 115.536073
0.026371 3.952068 107.482955
0.769039 0.116774 147.065383
-0.074823 0.321135 150.272007
-3.047570 -3.928280 111.961571
2.224521 -0.525876 136.266679
-2.192276 0.326173 127.633855
-4.756840 -2.575295 105.253200
1.454723 -2.307568 133.402303
-3.228893 -1.227158 118.855852
4.404586 -4.799288 108.854259
4.539286 -1.779208 109.967214
4.148644 -2.885520 115.891663
-1.298413 -1.725026 139.837304
-4.845434 -3.802379 101.838934
4.283186 3.905273 101.443041
-0.718159 0.935925 140.826675
4.666548 1.791023 108.713053
4.636200 2.891712 105.906274
3.530095 -0.015578 126.256225
-2.055511 -4.130797 112.211583
-1.149023 0.371065 139.228147
3.511367 0.868411 116.947656
-1.830780 2.454395 115.252039
-3.305073 -0.683405 117.321454
0.568013 -3.724197 126.211885
4.361548 -2.162241 112.354633
1.960298 -1.369177 138.134969
0.700612 1.459172 137.409895
-4.028235 0.707783 110.825519
1.150072 -1.439033 148.710916
4.900539 4.865152 98.506575
-3.599160 1.057748 109.972427
0.183297 -2.627732 136.694319
3.773731 -3.982175 112.520166
2.407686 -3.471409 122.816594
1.970157 -2.540423 130.229260
2.024841 -3.393186 120.826139
-1.405088 -3.134330 124.383091
-2.064082 -2.149048 128.144337
3.093612 -3.266264 118.458740
3.101134 3.967654 105.330741
3.670723 -4.197663 112.984485
4.132406 0.245114 118.378972
0.113424 -0.896032 152.107710
0.015163 4.823786 103.550526
2.982952 -3.879611 113.914695
1.499639 -1.021444 143.759299
2.019669 4.694704 104.881164
2.957927 3.655071 104.705446
3.900053 3.170721 106.530485
-1.620048 -2.420972 127.106150
-1.244170 -3.291124 122.753677
-4.060181 1.686432 107.714746
0.782801 4.293760 106.333331
-4.640577 0.567629 104.541735
-0.344020 0.716127 141.494121
0.426446 -2.200209 140.768281
-2.134587 2.694929 113.842803
0.908333 -3.129563 132.598647
-4.694998 -1.763208 104.643269
-4.626518 -0.745636 106.354799
3.226006 0.076104 125.814841
-1.398094 -2.575903 131.449038
-3.729395 -3.851632 106.325898
0.222433 1.106200 142.466875
2.699936 -2.113694 127.566887
-2.841790 0.812382 119.905428
1.228905 -3.456373 123.190462
-4.146525 -0.188599 109.485089
-4.483183 0.325894 108.027132
0.313546 -4.481765 114.018955
0.406351 -1.633957 144.994459
1.374299 -3.655853 120.399639
2.260913 -4.366250 116.496378
4.758521 4.899602 96.503823
0.163003 -1.776462 142.378477
-1.770435 3.098744 111.935929
2.951862 -2.453593 125.394487
-2.291677 1.815027 118.544503
-0.610286 2.602279 120.685402
-4.215436 0.956387 110.152747
-4.746493 -0.284238 102.019069
4.626484 -0.881591 108.770786
3.359801 -1.511317 123.772185
1.959742 4.295291 103.745799
-0.910471 3.306194 110.863935
-3.267057 4.650269 98.754126
-3.435630 -3.757028 108.451386
-2.497571 2.308675 111.983343
0.492267 4.383405 102.767499
2.145959 -3.187669 124.321588
1.601974 -4.335037 117.183967
-2.200661 2.411206 114.284905
4.548653 0.744731 115.464829
2.378969 3.418288 107.629776
0.543541 -3.602276 120.803481
1.117207 2.952673 116.864688
-0.803999 -2.983727 127.818367
-2.522690 -3.363441 114.958495
-1.440273 -3.357342 120.570048
2.578461 3.145747 111.776789
-4.856065 1.651972 98.516154
-3.839274 0.230654 114.036542
-4.539974 -1.411695 106.201540
-4.592712 3.772005 99.033228
3.554606 -1.075549 122.691430
2.036579 3.165994 114.000613
-0.258262 -0.608651 150.291037
-4.021658 -1.230556 111.080715
-0.083841 -0.373202 151.199568
-0.265282 -1.986221 143.258229
-3.267981 2.476094 107.090460
-0.661484 0.027204 147.781455
-1.014953 -2.677873 129.719432
1.158501 3.995746 110.877702
1.350937 -1.161088 142.633940
-4.546960 0.435529 108.873580
-1.253874 4.064721 105.237809
1.258599 1.242380 134.564338
0.031363 -3.831020 121.735773
3.564898 4.398321 100.358277
1.586936 1.277081 136.586798
-3.370656 -1.650944 113.911183
-4.294313 -3.607279 103.987840
1.424193 2.940252 113.728704
-4.734887 1.200728 101.718602
0.857756 0.334611 142.081145
4.402302 3.938926 98.773764
0.754742 2.885972 121.247326
-1.118301 -3.483251 123.142283
1.432882 -1.882779 139.307942
-0.417471 -2.515109 132.622082
0.456168 2.439463 125.467826
4.414648 -4.664676 108.561720
-1.138974 0.698897 136.550344
4.611906 2.624587 108.528295
4.053506 3.767656 104.824158
-3.042089 -1.579183 118.220519
-4.306387 3.212573 99.001165
-3.992220 -3.893683 105.897389
-4.817782 3.464523 92.882957
-4.055570 -3.725113 105.051810
1.830068 -1.027127 139.123754
-4.288114 2.972954 97.710224
-1.810244 -3.500826 117.277836
3.448753 -2.707486 121.003333
-4.767281 2.222526 101.294806
3.144685 2.200365 113.822462
-2.181452 1.411476 124.053333
-3.818352 1.939484 108.536331
1.967372 0.427244 139.822156
1.289428 -2.482009 133.817679
3.774720 -1.543040 117.724772
2.350710 -3.184023 122.872323
3.034809 4.084506 104.684313
-2.179654 0.833918 128.711734
-3.225605 -0.991486 119.272035
2.506148 -0.379942 136.312715
3.068347 4.472833 101.070135
4.905051 -3.466486 111.675316
-0.873823 0.862298 140.191779
-1.279819 0.058887 144.998229
2.764130 1.114542 124.289984
-1.591965 -4.818898 114.080680
4.307573 3.721239 103.128563
3.584128 4.321183 100.655675
-0.710060 0.651332 141.682362
2.508711 1.966508 120.682687
2.545429 4.224994 104.999264
