x y z
0.612772 -3.118788 129.720885
2.709672 -0.363016 131.769593
-0.062044 -1.466478 147.946184
0.227328 0.836561 144.761115
-0.724590 -4.222654 116.951660
-4.745809 4.743948 94.027670
-3.921086 4.862107 95.560228
-4.685708 1.981617 101.571381
1.364104 0.360964 140.295010
-1.856440 -1.904724 126.910802
0.085707 3.137950 118.421830
4.075665 1.847312 111.298378
-2.507078 -3.373831 114.141903
-0.896171 4.109272 105.889837
2.555511 3.225372 111.261126
-2.712018 4.497999 97.988844
-4.230201 2.257195 100.686675
-2.102485 1.134152 126.186697
-3.387787 -0.817570 114.479188
4.296977 4.327285 101.857515
3.081204 3.660639 102.544315
1.334038 -4.547813 117.014288
3.714606 -4.736330 110.446460
3.036721 -1.235366 127.508873
-3.134299 3.105533 106.037672
3.925590 4.872761 103.332311
0.393422 -3.495831 127.042380
3.074402 0.941307 119.925680
3.960913 -1.191091 115.508150
-1.819965 4.699144 98.966640
-3.899481 3.421189 99.670518
-2.720648 3.383287 105.504255
-0.728922 -0.313068 145.098723
3.180148 -0.851805 126.623645
3.607306 -2.265929 116.604260
-4.930479 -4.436245 101.409700
0.107473 3.647224 108.689034
-0.825890 3.129010 113.179988
-2.778922 4.997177 94.514079
-3.801346 4.966368 93.684910
-1.623848 0.554317 136.996254
4.429097 2.689874 104.011586
-1.767971 4.447657 106.866074
0.187906 3.496474 114.066737
2.030190 -2.526519 129.131015
-1.363704 -0.494559 138.989253
4.717821 -3.708406 110.582863
4.624473 4.540510 99.130953
-2.482177 1.061746 122.397042
-0.027515 -2.713572 138.522152
-1.991217 1.717007 122.031207
-2.151595 1.181282 127.230525
-4.631131 -1.418373 104.404850
1.095643 -3.864424 120.539252
0.026790 1.715732 138.220227
-4.485212 0.203077 104.803787
-2.213535 2.723184 115.441768
4.082659 0.201635 117.966761
-2.604381 3.521815 103.039682
-3.551051 0.519068 114.448720
-0.105472 0.609380 147.855972
4.856505 3.766536 103.008708
-2.579447 -0.965171 122.355073
1.721355 -3.659848 119.174586
2.616196 -4.712173 111.186306
-2.623625 2.551373 110.285807
2.282163 1.203096 130.921621
-1.322169 2.040798 124.859391
1.323058 -2.870358 126.931629
1.335297 -3.636285 122.849590
0.357747 -4.854553 114.776318
-4.097102 -1.494124 110.449550
3.353025 0.899177 123.237552
-1.792199 -1.077560 136.313213
-3.134815 -0.625251 120.217436
-4.592249 4.041587 96.092930
0.908929 -1.517445 141.005687
1.775644 0.139895 141.998815
-4.834122 2.836530 98.726075
0.120931 -1.034572 149.294873
-2.735042 1.220867 115.962055
1.451728 3.623637 108.537209
-3.256336 4.495206 99.937042
1.909377 -3.529265 120.883580
-1.132647 4.265876 105.567880
4.367300 -0.078837 114.717034
-3.624791 -2.417556 111.018286
-1.589336 -0.408642 140.074043
-3.865265 4.800326 94.858390
4.246936 -0.073819 115.807773
3.773394 -1.712484 117.678563
-2.420584 1.334009 120.166892
1.599840 -2.598544 130.271331
3.172222 -4.241367 112.540890
0.552008 -3.711203 121.802908
0.296506 -3.719542 125.241028
-2.581477 -3.480973 111.689235
-4.068972 -3.611728 105.320063
3.972158 1.408747 112.660605
4.004181 -3.181199 115.527337
1.331015 -1.543327 142.179004
-1.609702 3.967884 107.045107
-1.507904 -0.260384 136.071885
2.259557 1.675577 126.384642
3.971103 -3.276801 114.274850
3.870864 -3.077110 113.741588
